timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1705668258066,1911,HTTP Request,200,OK,Assignment_2 8-3,text,true,,237662,246,4,5,https://www.makemytrip.com:443/hotels/,15,0,0
1705668258066,15,HTTP Request-0,301,Moved Permanently,Assignment_2 8-3,text,true,,345,119,4,5,https://makemytrip.com/hotels/,15,0,0
1705668258081,1896,HTTP Request-1,200,OK,Assignment_2 8-3,text,true,,237317,127,4,5,https://www.makemytrip.com:443/hotels/,1848,0,0
1705668258066,2268,HTTP Request,200,OK,Assignment_2 8-5,text,true,,231141,262,3,4,https://www.makemytrip.com:443/holidays-india/,69,0,56
1705668258066,69,HTTP Request-0,301,Moved Permanently,Assignment_2 8-5,text,true,,353,127,3,4,https://makemytrip.com/holidays-india/,69,0,56
1705668258135,2199,HTTP Request-1,200,OK,Assignment_2 8-5,text,true,,230788,135,3,4,https://www.makemytrip.com:443/holidays-india/,2134,0,35
1705668258066,2697,HTTP Request,200,OK,Assignment_2 8-4,text,true,,231153,262,3,4,https://www.makemytrip.com:443/holidays-india/,15,0,0
1705668258066,15,HTTP Request-0,301,Moved Permanently,Assignment_2 8-4,text,true,,353,127,3,4,https://makemytrip.com/holidays-india/,15,0,0
1705668258081,2682,HTTP Request-1,200,OK,Assignment_2 8-4,text,true,,230800,135,3,4,https://www.makemytrip.com:443/holidays-india/,2638,0,0
1705668262867,1911,HTTP Request,200,OK,Assignment_no3 9-3,text,true,,244964,252,1,4,https://www.makemytrip.com:443/homestays/,24,0,0
1705668262867,24,HTTP Request-0,301,Moved Permanently,Assignment_no3 9-3,text,true,,348,122,1,4,https://makemytrip.com/homestays/,24,0,0
1705668262891,1887,HTTP Request-1,200,OK,Assignment_no3 9-3,text,true,,244616,130,1,4,https://www.makemytrip.com:443/homestays/,1868,0,0
1705668264058,1784,HTTP Request,200,OK,Assignment_2 8-4,text,true,,244964,252,4,6,https://www.makemytrip.com:443/homestays/,15,0,0
1705668264058,15,HTTP Request-0,301,Moved Permanently,Assignment_2 8-4,text,true,,348,122,4,6,https://makemytrip.com/homestays/,15,0,0
1705668264073,1769,HTTP Request-1,200,OK,Assignment_2 8-4,text,true,,244616,130,4,6,https://www.makemytrip.com:443/homestays/,1754,0,0
1705668264059,2064,HTTP Request,200,OK,Assignment_2 8-6,text,true,,237647,246,3,5,https://www.makemytrip.com:443/hotels/,64,0,50
1705668264059,64,HTTP Request-0,301,Moved Permanently,Assignment_2 8-6,text,true,,345,119,3,5,https://makemytrip.com/hotels/,64,0,50
1705668264123,2000,HTTP Request-1,200,OK,Assignment_2 8-6,text,true,,237302,127,3,5,https://www.makemytrip.com:443/hotels/,1894,0,32
1705668264058,2404,HTTP Request,200,OK,Assignment_2 8-5,text,true,,231153,262,3,5,https://www.makemytrip.com:443/holidays-india/,15,0,0
1705668264058,15,HTTP Request-0,301,Moved Permanently,Assignment_2 8-5,text,true,,353,127,3,5,https://makemytrip.com/holidays-india/,15,0,0
1705668264073,2389,HTTP Request-1,200,OK,Assignment_2 8-5,text,true,,230800,135,3,5,https://www.makemytrip.com:443/holidays-india/,2333,0,0
1705668269792,1853,HTTP Request,200,OK,Assignment_no3 9-3,text,true,,237645,246,2,6,https://www.makemytrip.com:443/hotels/,17,0,0
1705668269792,17,HTTP Request-0,301,Moved Permanently,Assignment_no3 9-3,text,true,,345,119,2,6,https://makemytrip.com/hotels/,17,0,0
1705668269809,1836,HTTP Request-1,200,OK,Assignment_no3 9-3,text,true,,237300,127,2,6,https://www.makemytrip.com:443/hotels/,1802,0,0
1705668269793,2072,HTTP Request,200,OK,Assignment_no3 9-4,text,true,,244928,252,1,5,https://www.makemytrip.com:443/homestays/,120,0,103
1705668269793,120,HTTP Request-0,301,Moved Permanently,Assignment_no3 9-4,text,true,,348,122,1,5,https://makemytrip.com/homestays/,120,0,103
1705668269913,1952,HTTP Request-1,200,OK,Assignment_no3 9-4,text,true,,244580,130,1,5,https://www.makemytrip.com:443/homestays/,1894,0,56
1705668270056,1992,HTTP Request,200,OK,Assignment_2 8-6,text,true,,237655,246,4,5,https://www.makemytrip.com:443/hotels/,14,0,0
